member_id,customer_id,member_registration_date,membership_level
1,863,6/4/18,Basic
2,582,5/10/19,Premium
3,467,12/1/19,Basic
4,72,5/15/18,Premium
5,580,4/22/18,Basic
6,763,10/9/18,Premium
7,791,10/4/19,Basic
8,439,10/17/18,Premium
9,783,5/20/19,Basic
10,244,9/9/18,Basic
11,522,7/22/18,Premium
12,727,12/23/18,Premium
13,897,7/11/18,Basic
14,829,7/23/19,Basic
15,511,10/21/18,Premium
16,652,8/16/19,Premium
17,597,5/23/19,Basic
18,65,11/2/19,Premium
19,795,2/26/19,Premium
20,882,8/2/19,Basic
21,314,12/23/19,Premium
22,331,10/13/18,Premium
23,105,10/28/18,Basic
24,328,11/2/19,Premium
25,866,12/3/19,Basic
26,479,9/26/19,Premium
27,658,6/22/19,Premium
28,595,7/3/19,Basic
29,873,8/25/18,Basic
30,280,6/16/19,Basic
31,50,1/3/19,Basic
32,341,1/7/19,Basic
33,387,1/21/19,Basic
34,131,11/23/18,Premium
35,888,7/29/19,Basic
36,901,12/14/19,Basic
37,71,12/3/19,Basic
38,433,11/15/18,Basic
39,283,10/20/18,Basic
40,127,12/31/19,Basic
41,128,7/26/19,Basic
42,700,10/18/18,Premium
43,794,11/26/19,Basic
44,309,2/13/19,Basic
45,313,2/5/19,Premium
46,80,10/11/19,Basic
47,541,6/10/19,Basic
48,44,5/1/19,Basic
49,548,11/15/19,Premium
50,867,3/16/19,Premium
51,452,3/17/19,Basic
52,243,2/3/19,Basic
53,391,11/9/19,Basic
54,996,10/3/19,Basic
55,389,5/22/19,Premium
56,880,5/21/19,Basic
57,729,3/12/19,Basic
58,121,1/1/19,Basic
59,430,1/11/19,Premium
60,297,1/31/19,Basic
61,294,2/10/19,Basic
62,730,12/12/19,Basic
63,651,11/26/19,Basic
64,768,4/25/19,Basic
65,43,3/24/19,Premium
66,469,3/18/19,Basic
67,257,7/22/19,Basic
68,801,12/3/19,Basic
69,600,8/20/19,Premium
70,733,4/9/19,Basic
71,377,10/2/19,Basic
72,434,12/2/19,Basic
73,676,10/12/19,Basic
74,95,8/6/19,Premium
75,133,7/4/19,Basic
76,761,8/10/19,Basic
77,238,7/31/19,Basic
78,858,7/10/19,Basic
79,645,10/8/19,Basic
80,343,8/29/19,Basic
81,757,7/24/19,Premium
82,657,7/19/19,Basic
83,101,12/31/19,Basic
84,539,6/30/19,Premium
85,258,11/27/19,Basic
86,724,9/24/19,Basic
87,778,7/14/19,Premium
88,327,8/13/19,Basic
89,908,8/8/19,Premium
90,581,8/31/19,Basic
91,990,12/2/19,Premium
92,429,9/9/19,Basic
93,354,12/24/19,Premium
94,49,10/22/19,Basic
95,317,11/17/19,Basic
96,102,9/24/19,Premium
97,203,11/20/19,Premium
98,437,9/30/19,Premium
99,699,10/11/19,Basic
100,197,10/12/19,Premium
101,722,12/2/19,Basic
102,942,11/6/19,Basic
103,360,12/8/19,Premium
104,940,12/31/19,Basic
105,274,12/28/19,Basic
106,64,10/12/21,Premium
107,780,8/4/20,Basic
108,290,1/25/21,Basic
109,697,4/4/20,Premium
110,552,4/18/20,Premium
111,535,12/18/21,Basic
112,912,6/17/20,Premium
113,518,10/21/20,Basic
114,474,10/12/21,Premium
115,875,7/29/20,Basic
116,380,11/17/20,Basic
117,641,4/15/21,Premium
118,304,3/12/21,Basic
119,585,4/3/21,Premium
120,51,3/19/21,Premium
121,414,9/9/20,Basic
122,991,8/26/20,Basic
123,162,7/7/21,Basic
124,248,9/1/20,Premium
125,286,10/21/21,Basic
126,789,9/19/20,Basic
127,350,9/28/20,Premium
128,551,3/1/21,Basic
129,900,10/16/20,Basic
130,644,8/1/21,Basic
131,278,8/9/20,Basic
132,199,10/3/21,Basic
133,731,8/21/21,Basic
134,941,12/11/20,Premium
135,910,10/14/20,Premium
136,132,10/25/20,Basic
137,872,4/11/21,Premium
138,515,4/13/21,Premium
139,315,11/26/20,Basic
140,52,12/12/20,Premium
141,136,9/9/21,Basic
142,262,7/6/21,Basic
143,284,9/18/21,Premium
144,992,8/16/21,Premium
145,319,9/20/21,Basic
146,799,4/13/21,Premium
147,241,6/15/21,Basic
148,104,10/11/21,Premium
149,202,5/2/21,Basic
150,723,8/1/21,Basic
151,411,10/7/21,Basic
152,649,11/16/21,Basic
153,296,4/30/21,Premium
154,69,1/22/21,Basic
155,311,9/17/21,Premium
156,472,4/1/21,Premium
157,91,6/8/21,Basic
158,5,6/5/21,Premium
159,620,7/26/21,Premium
160,438,8/22/21,Premium
161,770,12/11/21,Premium
162,530,5/4/21,Basic
163,1000,12/27/21,Premium
164,859,8/19/21,Premium
165,381,6/13/21,Basic
166,344,10/14/21,Premium
167,678,12/7/21,Premium
168,774,4/29/21,Premium
169,884,9/3/21,Premium
170,965,12/25/21,Basic
171,728,8/26/21,Premium
172,260,9/22/21,Premium
173,236,9/28/21,Basic
174,287,9/5/21,Premium
175,46,6/24/21,Basic
176,679,10/19/21,Premium
177,281,12/5/21,Premium
178,709,9/1/21,Basic
179,425,8/1/21,Basic
180,718,9/16/21,Premium
181,793,8/10/21,Premium
182,533,10/5/21,Premium
183,135,12/22/21,Basic
184,413,10/28/21,Basic
185,725,11/3/21,Basic
186,714,9/26/21,Basic
187,55,10/17/21,Basic
188,765,11/4/21,Basic
189,482,10/27/21,Premium
190,779,10/19/21,Basic
191,589,12/21/21,Premium
192,994,11/1/21,Basic
193,668,11/11/21,Premium
194,326,12/28/21,Basic
195,320,12/11/21,Basic
196,771,12/13/21,Basic
197,332,12/20/21,Basic
198,312,11/14/21,Basic
199,660,11/19/21,Premium
200,233,12/30/21,Premium
201,865,12/23/21,Basic
202,642,12/18/21,Basic
203,293,12/14/21,Premium
204,100,12/30/21,Basic
205,395,12/14/21,Basic
206,871,12/31/21,Basic
207,717,12/31/21,Premium
208,355,12/26/21,Premium
209,200,3/29/23,Basic
210,232,8/20/23,Basic
211,424,8/4/22,Basic
212,542,4/26/22,Basic
213,282,5/3/23,Basic
214,78,10/9/23,Basic
215,164,5/6/22,Basic
216,230,6/27/22,Basic
217,96,9/2/23,Basic
218,508,7/8/22,Premium
219,822,11/7/23,Basic
220,790,5/6/23,Premium
221,242,5/16/23,Basic
222,997,6/28/23,Basic
223,619,10/30/23,Premium
224,62,7/7/23,Premium
225,524,4/17/23,Basic
226,103,1/26/23,Basic
227,59,10/4/23,Basic
228,715,12/25/22,Basic
229,907,12/30/22,Basic
230,291,12/2/22,Basic
231,499,4/25/23,Basic
232,440,11/6/23,Basic
233,277,10/13/22,Basic
234,17,5/22/23,Premium
235,302,11/28/22,Basic
236,264,10/11/23,Premium
237,385,4/4/23,Basic
238,393,12/15/23,Basic
239,471,11/24/22,Basic
240,583,5/26/23,Basic
241,316,7/20/23,Basic
242,54,6/25/23,Basic
243,532,1/20/23,Basic
244,710,11/23/23,Premium
245,231,5/9/23,Basic
246,40,4/8/23,Basic
247,345,7/8/23,Premium
248,417,11/28/23,Basic
249,521,11/16/23,Basic
250,363,8/13/23,Basic
251,538,11/30/23,Basic
252,383,3/21/23,Basic
253,798,8/29/23,Premium
254,484,11/19/23,Premium
255,338,5/23/23,Premium
256,968,3/18/23,Premium
257,898,9/11/23,Basic
258,781,3/20/23,Premium
259,537,10/2/23,Basic
260,621,9/11/23,Premium
261,827,9/1/23,Basic
262,899,7/7/23,Premium
263,182,9/8/23,Basic
264,122,6/29/23,Basic
265,358,8/4/23,Basic
266,601,12/25/23,Premium
267,506,11/4/23,Premium
268,877,12/22/23,Basic
269,275,11/8/23,Basic
270,99,10/24/23,Basic
271,184,12/5/23,Premium
272,943,9/20/23,Basic
273,289,10/26/23,Premium
274,878,9/27/23,Basic
275,861,10/2/23,Premium
276,306,11/20/23,Premium
277,468,10/23/23,Premium
278,464,12/1/23,Premium
279,510,12/29/23,Basic
280,256,11/8/23,Basic
281,323,12/21/23,Premium
282,426,12/17/23,Basic
283,2,11/24/23,Basic
284,989,12/21/23,Premium
285,481,11/28/23,Basic
286,967,1/1/24,Basic
287,534,12/10/23,Basic
288,667,12/30/23,Basic
289,298,1/1/24,Premium